NAISTYP_SORT; NAISTYP_C; NAISTYP_S20; NAISTYP_NAME_LAT; NAISTYP_NAME_DEU; NAISTYP_NAMK_DEU; NAISTYP_NAME_FRZ; NAISTYP_NAMK_FRZ; NTYP_C_ANHANG2A; NTYP_C_BSCHR_SEP; NTYP_C_BSCHR_TI; NTYP_W_B_ETAP1; NTYP_W_B_ETAP2; NTYP_G_P_ETAP1; NTYP_G_P_ETAP2; NTYP_BS_ETAP1; NTYP_BS_ETAP2; NTYP_SSKSMS_ETA1; NTYP_SSKSMS_ETA2; NTYP_DELARZE08; NTYP_C_ABGES; NTYP_C_GFX_ORT; NTYP_C_GFX_BODEN; NAISTYP_GFX; NAISTYP_WGES; NAISTYP_ANFP; NAISTYP_GFK; NAISTYP_GFEI; NAISTYP_GRB; NAISTYP_ANFP_05; NAISTYP_BEM; NTYP_NATP_ABK; NTYP_NATP_BED
32.1;32*    ;Y;Aceri-Alnetum incanae typicum;Typischer Ahorn-Weisserlenwald;Typischer Ahorn-Weisserlenwald;Aunaie de pente à  Erable typique ;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;32Stern;Typischer Ahorn-Weisserlenwald;32*;PI;Pionierwald;Pionierwälder;;;keine Zuordung möglich;
33.00014;33V    ;Y;Salvio glutinosae-Fraxinetum violetosum biflorae;Montaner Salbei-Eschenmischwald;Montaner Salbei-Eschenmischwald;Frênaie à  Sauge avec pensée à  deux fleurs;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;33V;Montaner Salbei-Eschenwald;33V;PI;Pionierwald;Pionierwälder;;;keine Zuordung möglich;
33.001;33a    ;Y;"Arunco-Fraxinetum castanosum; saure Ausbildung";Heidelbeer-Geissbart-Eschenmischwald mit Kastanie;Heidelbeer-Geissbart-Eschenmischwald mit Kastanie;Frênaie à  Reine-des-bois avec Châtaignier et Myrtille;;;;x;Y;;Y;;Y;;Y;;;;x;x;33a;Heidelbeer-Geissbart-Eschenwald;33a;LSKA;Laub Süd Kastanie;Mesophile Laubwälder Insubriens;33AV-33A;Anforderungsprofil von 33AV-33A übernehmen;33;Saure Ausbildung 
33.002;33b    ;Y;"Arunco-Fraxinetum castanosum; basische Ausbildung";Zyklamen-Geissbart-Eschenmischwald mit Kastanie;Zyklamen-Geissbart-Eschenmischwald mit Kastanie;Frênaie à  Reine-des-bois avec Cyclamen;;;;x;;;;;Y;;;;;;x;;33b;Zyclamen-Geissbart-Eschenwald;33b;LSKA;Laub Süd mittel;Mesophile Laubwälder Insubriens;;"Neues Anforderungsprofil: 25Am-33m zonaler Teil; mehr Bu; weniger Linde";33;Basische Ausbildung
33.01;33m    ;Y;"Arunco-Fraxinetum castanosum; mesophile Ausbildung";Mesophiler Geissbart-Eschenmischwald mit Kastanie;Mesophiler Geissbart-Eschenmischwald mit Kastanie;Frênaie à  Reine-des-bois avec Châtaignier mésophile;;;;x;;;;;Y;;;;;;x;x;33m;Geissbart-Eschenwald mit Kastanie;33m;LSM;Laub Süd mittel;Mesophile Laubwälder Insubriens;;"Neues Anforderungsprofil: 33-25A zonaler Teil; mehr Bu; weniger LI und B'Ah";33;Mesophile Ausbildung
34.001;34a    ;Y;"Cruciato glabrae-Quercetum; saure Ausbildung";Saurer Kreuzlabkraut-Eichenwald mit Kastanie;Saurer Kreuzlabkraut-Eichenwald mit Kastanie;Chênaie-Châtaigneraie à  Tilleul sur sol acide;;;;x;;;;;Y;;;;;;x;x;34a;"Kreuzlabkraut-Eichenwald mit Kastanie; saure Variante";34a;LSM;Laub Süd mittel;Mesophile Laubwälder Insubriens;;"Neues Anforderungsprofil: 25A-34m zonaler Teil; mehr Bu; weniger Linde ";34;Saure Ausbildung 
34.002;34b    ;Y;"Cruciato glabrae-Quercetum; basische Ausbildung";Basischer Kreuzlabkraut-Eichenwald mit Kastanie;Basischer Kreuzlabkraut-Eichenwald mit Kastanie;Chênaies à  Châtaignier avec Tilleul sur substrat neutre à  basique;;x 34B;;;Y;;;;Y;;Y;;;;x;;34b;"Kreuzlabkraut-Eichenwald mit Kastanie; basische Variante";34b;LSM;Laub Süd mittel;Mesophile Laubwälder Insubriens;34B;34B;34;Basische Ausbildung
34.1;34*    ;Y;Luzulo niveae-Tilietum cordatae;Schneesimsen-Winterlindenwald;Schneesimsen-Winterlindenwald;Tillaie à  petites feuilles à  Luzule blanc-de-neige;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;34Stern;Schneesimsen-Winterlindenwald;25 34*;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;;Anforderungsprofil von 25;34*;"Region J; M; 1; 2; 3"
35;35;Y;Galio-Carpinetum;Waldlabkraut-Hainbuchenmischwald;Waldlabkraut-Hainbuchenmischwald;Chênaie-Charmaie à  Gaillet des bois;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;35;Waldlabkraut-Hainbuchen-Mischwald;35 35A 35M 35Q 35S;EIMI;Eichemisch;Eichenwälder;;35Q im gleichen Anforderungsprofil (19.3.2014);35;Ohne Wechselfeuchtigkeitszeiger
35.00007;35M    ;Y;Galio-Carpinetum molinietosum;Waldlabkraut-Hainbuchenwald mit Pfeifengras;Waldlabkraut-Hainbuchenwald mit Pfeifengras;Chênaie-Charmaie à  Molinie;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;35M;Waldlabkraut-Hainbuchenwald mit Pfeifengras;35 35A 35M 35Q 35S;EIMI;Eichemisch;Eichenwälder;;35Q im gleichen Anforderungsprofil (19.3.2014);35;Mit Wechselfeuchtigkeitszeigern
35.00011;35Q    ;Y;Polygonato-Quercetum roboris (Sartori 1980) ;Stieleichen-Winterlinden-Talboden-Auenwald;Stieleichen-Winterlinden-Talboden-Auenwald;Chênaie-tillaie riveraine de plaine;;;;x;;;;;Y;;;;;;x;x;35Q;Stieleichen-Winterlinden-Talboden-Auenwald;35 35A 35M 35Q 35S;EIMI;Eichemisch;Eichenwälder;;35Q im gleichen Anforderungsprofil (19.3.2014);keine Zuordung möglich;
35.00012;35S    ;Y;Scillo-Carpinetum;Blaustern-Hagebuchenmischwald;Blaustern-Hagebuchenmischwald;Charmaie à  Scille;;x;;;Y;;;;Y;;Y;;;;x;;35S;Blaustern-Hagebuchenmischwald;35 35A 35M 35Q 35S;EIMI;Eichemisch;Eichenwälder;;35Q im gleichen Anforderungsprofil (19.3.2014);35**;
35.001;35A    ;Y;Stellario-Carpinetum;Aronstab-Eichenmischwald;Aronstab-Eichenmischwald;Chênaie à  Gouet;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;35A;Aronstab-Eichenmischwald;35 35A 35M 35Q 35S;EIMI;Eichemisch;Eichenwälder;;35Q im gleichen Anforderungsprofil (19.3.2014);35*;
36;36;Y;Carpino betuli-Ostryetum;Hagebuchen-Hopfenbuchenwald;Hagebuchen-Hopfenbuchenwald;Forêt mixte à  Charmehoublon et Charme;;x;;;Y;;;;Y;;Y;;;;x;;36;Hagebuchen-Hopfenbuchenwald;36;HO;Hopfenbuche;Mesophile Laubwälder Insubriens;36;"Anforderungsprofil anpassen: neu ohne Schuttwälder (mit Schutt 25b); evt. Esche erwähnen";36;
37;37;Y;Fraxino orni-Ostryetum;Hopfenbuchen-Eichenwald;Hopfenbuchen-Eichenwald;Forêt mixte à  Charmehoublon et Orne;;x;;;Y;;;;Y;;Y;;;;x;x;37;Hopfenbuchen-Eichenwald;37;HO;Hopfenbuche;Mesophile Laubwälder Insubriens;37;;37;Ohne Schutt
38;38;Y;Arabidi turritae-Quercetum pubescentis;Turmkressen-Flaumeichenwald;Turmkressen-Flaumeichenwald;Chênaie à  Arabette tourette;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;38;Turmkressen-Flaumeichenwald;38 38S 39 39* 40* 41 41*;EI;Eiche ;Eichenwälder;;;38;"Region J; M"
38.00012;38S    ;Y;Saponario-Quercetum pubescentis;Seifenkraut-Flaumeichenwald;Seifenkraut-Flaumeichenwald;Chênaie à  Saponaire;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;38S;Seifenkraut-Flaumeichenwald;38 38S 39 39* 40* 41 41*;EI;Eiche ;Eichenwälder;;;38;Region 2
38.1;38*    ;Y;Asperulo purpurei-Quercetum pubescentis ;Purpurwaldmeister-Flaumeichenwald;Purpurwaldmeister-Flaumeichenwald;Chênaie pubescente à  Aspérule pourpre;;x;;;Y;;;;Y;;Y;;;;x;;38Stern;Purpurwaldmeister-Flaumeichenwald;42r 42B 38*;EI;Eiche ;Eichenwälder;;;38* Asperulo purpurei-Quercetum  ;
39;39;Y;Coronillo coronatae-Quercetum;Kronwicken-Eichenmischwald;Kronwicken-Eichenmischwald;Chênaie à  Coronille en couronne;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;39;Kronwicken-Eichenmischwald;38 38S 39 39* 40* 41 41*;EI;Eiche ;Eichenwälder;;;39;
39.1;39*    ;Y;Rhamno alpinae-Quercetum;Kreuzdorn-Eichenmischwald;Kreuzdorn-Eichenmischwald;Chênaie à  Nerprun des Alpes;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;39Stern;Kreuzdorn-Eichenmischwald;38 38S 39 39* 40* 41 41*;EI;Eiche ;Eichenwälder;;;39*;
40.00008;40P    ;Y;Corylo-Populetum;Pionier-Aspen-Haselbuschwald;Pionier-Aspen-Haselbuschwald;Forêt pionnière de tremble et noisetier ;;;in Arbeit;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;40P;Pionier-Aspen-Haselbuschwald;40P 40PBl;PI;Pionierwald;Pionierwälder;;neues Anforderungsprofil 40P 40PBl;keine Zuordung möglich;
40.000082;40PBl  ;Y;"Corylo-Populetum; Blockausbildung";Aspen-Haselbuschwald auf Blockschutt;Aspen-Haselbuschwald auf Blockschutt;Forêt de tremble et noisetier sur blocs;;;in Arbeit;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;40PBl;Aspen-Haselbuschwald auf Blockschutt;40P 40PBl;PI;Pionierwald;Pionierwälder;;neues Anforderungsprofil 40P 40PBl;keine Zuordung möglich;
40.01308;40Pt   ;Y;"Corylo-Populetum; Ausbildung tiefer Lagen";"Pionier-Aspen-Haselbuschwald; Tieflagenausbildung";"Pionier-Aspen-Haselbuschwald; Tieflagenausbildung";"Forêt pionnière de tremble et noisetier; variante de basse altitude";;;;;;;;;;;;;;;x;x;40Pt;"Pionier-Aspen-Haselbuschwald; Tieflagenausbildung";40Pt 40PBlt;PI;Pionierwald;Pionierwälder;;neues Anforderungsprofil 40Pt 40PBlt;keine Zuordung möglich;
40.013082;40PBlt ;Y;"Corylp-Populetum; Blockausbildung tiefer Lagen";"Aspen-Haselbuschwald auf Blockschutt; Tieflagenausbildung";"Aspen-Haselbuschwald auf Blockschutt; Tieflagenausbildung";"Forêt de tremble et noisetier sur blocs; variante de basse altitude";;;;;;;;;;;;;;;x;x;40PBlt;"Aspen-Haselbuschwald auf Blockschutt; Tieflagenausbildung";40Pt 40PBlt;PI;Pionierwald;Pionierwälder;;neues Anforderungsprofil 40Pt 40PBlt;keine Zuordung möglich;
40.1;40*    ;Y;Teucrio-Quercetum;Gamander-Eichenwald;Gamander-Eichenwald;Chênaie à  Germandrée;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;40Stern;Gamander-Eichenwald;38 38S 39 39* 40* 41 41*;EI;Eiche ;Eichenwälder;;;40;
41;41;Y;Lathyro-Quercetum;Platterbsen-Eichenmischwald;Platterbsen-Eichenmischwald;Chênaie à  Gesse noire;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;41;Platterbsen-Eichenmischwald;38 38S 39 39* 40* 41 41*;EI;Eiche ;Eichenwälder;;;41;
41.1;41*    ;Y;Luzulo-Quercetum;Hainsimsen-Eichenwald;Hainsimsen-Eichenwald;Chênaie à  Luzule;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;41Stern;Hainsimsen-Eichenwald;38 38S 39 39* 40* 41 41*;EI;Eiche ;Eichenwälder;;;41*;
42.00002;42C    ;Y;Phyteum betonicifoliae-Quercetum castanosum;Rapunzel-Eichenwald mit Kastanie;Rapunzel-Eichenwald mit Kastanie;Chênaie-Châtaigneraie à  Raiponce ;;;;x;;;;;Y;;;;;;x;x;42C;Rapunzel-Eichenwald mit Kastanie;42C ;EIKA;Eiche-Kastanie;Eichenwälder;42C/Q;"Anforderungsprofil von 42C/Q; mit mehr Kastanie";42;"ohne mittleren Arten; mit Kastanie"
42.00011;42Q    ;Y;Phyteum betonicifoliae-Quercetum typicum;Typischer Rapunzel-Eichenwald;Typischer Rapunzel-Eichenwald;Chênaie insubrienne à  Raiponce typique;;;;x;;;;;Y;;;;;;x;;42Q;Typischer Rapunzel-Eichenwald;42Q;EI ;Eiche;Eichenwälder;42C/Q;"Anforderungsprofil von 42C/Q; mit mehr Eiche";42;"ohne mittleren Arten; mit Eiche"
42.00014;42V    ;Y;Phyteumo betonicifoliae-Quercetum vaccinetosum;Eichen-Kastanienwald mit Heidelbeere;Eichen-Kastanienwald mit Heidelbeere;Chênaie-Châtaigneraie à  Myrtille;;x;;;Y;;;;Y;;Y;;;;x;x;42V;Eichen-Kastanienwald mit Heidelbeere;42V;EIBU;Eiche-Buche ;Buchenwälder;42V;;42;mit Heidelbeere
42.011;42r    ;Y;Phyteumo betonicifoliae-Quercetum festucetosum variae;Insubrischer Eichenwald auf Fels;Insubrischer Eichenwald auf Fels;Chênaie insubrinne sur rochers  à  silice;;x;;;Y;;;;Y;;Y;;;;x;x;42r;Eichen-Kastanienwald auf Fels;42r 42B 38*;EI;Eiche;Eichenwälder;e;42R;42;"Viel anstehener Fels; viele Trockenheitszeiger"
42.012;42B    ;Y;Allio lusitanici-Quercetum pubescentis;"Insubrischer Eichenwald auf Fels; basische Ausbildung";"Insubrischer Eichenwald auf Fels; basische Ausbildung";"Chênaie insubrinne sur rochers  à  silice; variante alcaline";;;;x;;;;;Y;;;;;;x;;42B;"Eichen-Kastanienwald auf Fels; basische Variante";42r 42B 38*;EI;Eiche;Eichenwälder;;"Wie 42r zu wenig wüchsig für Schutzwaldpflege; beide gleiches 'Anforderungsprofil'";38* Allio lusitanici-Quercetum;
42.013;42t    ;Y;"Phyteumo betonicifoliae-Quercetum polygonatetosum multiflorii; Cruciato glabrae-Quercetum p.p.";Eichen-Kastanienwald in Entwicklung;Eichen-Kastanienwald in Entwicklung;Chênaie-Châtaigneraie en évolution;;x (42)-34A;;;Y;;;;Y;;Y;;;;x;x;42t;Eichen-Kastanienwald in Entwicklung;42t;LSKA;Laub Süd Kastanie;Mesophile Laubwälder Insubriens;(42)-34A;(42)-34A;42;mit mittleren Arten
43;43;Y;Salicetum albae;Silberweiden-Auenwald;Silberweiden-Auenwald;Forêt riveraine de Saule blanc;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;43;Silberweidenauenwald;43 43S ;Au;Auen Laub;Auenwälder Laub;;;43;
43.00012;43S    ;Y;Salicetum elaeagno-daphnoidis;Lavendelweidengebüsch;Lavendelweidengebüsch;Saulaie buissonnante à  Saule drapé;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;43S;Lavendelweidengebüsch;43 43S ;Au;Auen Laub;Auenwälder Laub;;;keine Zuordung möglich;
43.1;43*    ;Y;Coronillo emeri-Populetum nigrae;Insubrischer Schwarzpappel-Auenwald;Insubrischer Schwarzpappel-Auenwald;Forêt riveraine insubrienne de Peuplier noir;;;;;;;;;;;;;;;x;;43Stern;Insubrischer Schwarzpappelauenwald;43*;Au;Auen Laub;Auenwälder Laub;;im Tessin und evt. auch im Wallis unterhalb von Leukerbad;43*;
44;44;Y;Carici elongatae-Alnetum glutinosae;Seggen-Schwarzerlenbruch;Seggen-Schwarzerlenbruch;Aunaie marécageuse à  Laiche;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;44;Seggen-Schwarzerlenbruch;30 44;ESER;Esche-Erle;Eschen- und Erlenwälder;;;44;
45;45;Y;Pino-Betuletum;Föhren-Birkenbruchwald;Föhren-Birkenbruchwald;Forêt marécageuse à  Bouleau pubescent;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;45;Föhren-Birkenbruchwald;45;M;Moor;Moorwälder;;;45;
46;46;Y;Vaccinio myrtillii-Abieti-Piceetum typicum;Typischer Heidelbeer-Tannen-Fichtenwald;Typischer Heidelbeer-Ta-Fi-Wald;Pessière-Sapinière à  Myrtille typique;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;46;Typischer Heidelbeer-Ta-Fi-Wald;46 46M 46*;TAFIMO;Tanne-Fichte Moderholz;Tannen-Fichtenwälder;46 46M 46*;;46*;"Ohne Sphagnum; mit verdichtetem Boden; im Tannen-Haupt- oder Nebenareal"
46.0000003;46Re   ;Y;Vaccinio myrtillii-Abieti-Piceetum typicum im Tannen-Reliktareal;Typischer Heidelbeer-Tannen-Fichtenwald im Tannen-Reliktareal;Typischer Heidelbeer-Ta-Fi-Wald im Ta-Reliktareal;Pessière-Sapinière à  Myrtille typique dans l'aire rélictuelle du Sapin;;;;;;;;;;;;;;;x;;46Re;Typischer Heidelbeer-Ta-Fi-Wald im Ta-Reliktareal;46Re 46MRe 46*Re;FIHF;Fichte hochmontan feucht;Fichtendominierte Wälder hochmontan;46 46M 46*;;46* ;"Ohne Sphagnum; mit verdichtetem Boden; im Tannen-Reliktareal"
46.00007;46M    ;Y;Vaccinio myrtillii-Abieti-Piceetum melampyretosum;Heidelbeer-Tannen-Fichtenwald auf Podsol;Heidelbeer-Ta-Fi-Wald auf Podsol;Pessière-Sapinière à  Myrtille sur podsol;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;46M;Heidelbeer-Ta-Fi-Wald auf Podsol;46 46M 46*;TAFIMO;Tanne-Fichte Moderholz;Tannen-Fichtenwälder;46 46M 46*;;46*;"Ohne Sphagnum; mit Podsol; im Tannen-Haupt- oder Nebenareal"
46.0000703;46MRe  ;Y;Vaccinio myrtillii-Abieti-Piceetum melampyretosum im Tannen-Reliktareal;Heidelbeer-Tannen-Fichtenwald auf Podsol im Tannen-Reliktareal;Heidelbeer-Ta-Fi-Wald auf Podsol im Ta-Reliktareal;Pessière-Sapinière à  Myrtille sur podsol de l'aire rélictuelle du Sapin;;;;;;;;;;;;;;;x;;46MRe;Heidelbeer-Ta-Fi-Wald auf Podsol im Ta-Reliktareal;46Re 46MRe 46*Re;FIHF;Fichte hochontan feucht;Fichtendominierte Wälder hochmontan;46 46M 46*;;46* ;"Ohne Sphagnum; mit Podsol; im Tannen-Reliktareal"
46.013;46t    ;Y;Bazzanio-Abietetum;Peitschenmoos-Fichten-Tannenwald;Peitschenmoos-Fichten-Tannenwald;Pessière-Sapinière à  Bazzania;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;46t;Peitschenmoss-Fi-Ta-Wald;46t;TAFIMO;Tanne-Fichte Moderholz;Tannen-Fichtenwälder;;"neues Anforderungsprofil; 46 mit Eiche; Buche";46;
46.1;46*    ;Y;Vaccinio myrtillii-Abieti-Piceetum sphagnetosum;Heidelbeer-Tannen-Fchtenwald mit Torfmoos;Heidelbeer-Ta-Fi-Wald mit Torfmoos;Pessière-Sapinière à  Myrtille avec Sphaignes;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;46Stern;Heidelbeer-Ta-Fi-Wald mit Torfmoos;46 46M 46*;TAFIMO;Tanne-Fichte Moderholz;Tannen-Fichtenwälder;46 46M 46*;;46*;"Mit Sphagnum; im Tannen-Haupt- oder Nebenareal"
46.1000003;46*Re  ;Y;Vaccinio myrtillii-Abieti-Piceetum sphagnetosum im Tannen-Reliktareal;Heidelbeer-Tannen-Fichtenwald mit Torfmoos im Tannen-Reliktareal;Heidelbeer-Ta-Fi-Wald mit Torfmoos im Ta-Reliktareal;Pessière-Sapinière à  Myrtille avec Sphaignes dans l'aire rélictuelle du Sapin;;;;;;;;;;;;;;;x;;46SternRe;Heidelbeer-Ta-Fi-Wald mit Torfmoos im Ta-Reliktareal;46Re 46MRe 46*Re;FIHF;Fichte hochontan feucht;Fichtendominierte Wälder hochmontan;46 46M 46*;;46* ;"Mit Sphagnum; im Tannen-Reliktareal"
47;47;Y;Calamagrostio-villosae-Abieti-Piceetum typicum;Typischer Wollreitgras-Ta-Fi-Wald;Typischer Wollreitgras-Ta-Fi-Wald;Pessière-Sapinière à  Calamagrostide velue typique;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;47;Wollreitgras-Ta-Fi-Wald;47;TAFIM;Tanne-Fichte mittel;Tannen-Fichtenwälder;47;;47;"Ohne Farn; ohne Trockenheitszeiger; im Tannen-Haupt- oder Nebenareal"
47.0000003;47Re   ;Y;Calamagrostio-villosae-Abieti-Piceetum typicum im Tannen-Reliktareal;Typischer Wollreitgras-Tannen-Fichtenwald im Tannen-Reliktareal;Typischer Wollreitgras-Ta-Fi-Wald im Ta-Reliktareal;Pessière-Sapinière à  Calamagrostide velue typique dans l'aire rélictuelle du Sapin;;;;;;;;;;;;;;;x;;47Re;Wollreitgras-Ta-Fi-Wald im Ta-Reliktareal;47Re;FIHM;Fichte hochmontan mittel;Fichtendominierte Wälder hochmontan;47;;47;"Ohne Farn; ohne Trockenheitszeiger; im Tannen-Reliktareal"
47.00003;47D    ;Y;Calamagrostio-villosae-Abieti-Piceetum dryopteridetosum;Farnreicher Wollreitgras-Tannen-Fichtenwald;"Farnreicher Wollreitgras-Ta-Fi-Wald; ";Pessière-Sapinière à  Calamagrostide velue riche en fougères;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;47D;"Wollreitgras-Ta-Fi-Wald; farnreicher";47D;TAFIM;Tanne-Fichte mittel;Tannen-Fichtenwälder;47D;;47;"Mit Farn; ohne Trockenheitszeiger; im Tannen-Haupt- oder Nebenareal"
47.0000303;47DRe  ;Y;Calamagrostio-villosae-Abieti-Piceetum dryopteridetosum im Tannen-Reliktareal;Farnreicher Wollreitgras-Tannen-Fichtenwald im Tannen-Reliktareal;Farnreicher Wollreitgras-Ta-Fi-Wald im Ta-Reliktareal;"Pessière-Sapinière à  Calamagrostide velue riche en fougères; dans l'aire rélictuelle du Sapin";;;;;;;;;;;;;;;x;;47DRe;"Wollreitgras-Ta-Fi-Wald; farnreicher im Ta-Reliktareal";47DRe;FIHM;Fichte hochmontan mittel;Fichtendominierte Wälder hochmontan;47D;;47;"Mit Farn; ohne Trockenheitszeiger; im Tannen-Reliktareal"
47.00007;47M    ;Y;Calamagrostio-villosae-Abieti-Piceetum melampyretosum;Wollreitgras-Tannen-Fichtenwald mit Wachtelweizen;Wollreitgras-Ta-Fi-Wald mit Wachtelweizen;Pessière-Sapinière à  Mélampyre;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;47M;Wollreitgras-Ta-Fi-Wald mit Wachtelweizen;47M;TAFIM;Tanne-Fichte mittel;Tannen-Fichtenwälder;47M;;47;"Mit Trockenheitszeigern; im Tannen-Haupt- oder Nebenareal"
47.00016;47H    ;Y;Hypno-Piceetum;Zypressenschlafmoos-Fichtenwald;Zypressenschlafmoos-Fi-Wald;Pessière à  Hypne cyprès;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;47H;Zypressenschlafmoos-Fi-Wald;47H;FIHM;Fichte hochmontan mittel;Fichtendominierte Wälder hochmontan;47H;;48*;
47.1;47*    ;Y;Rhododendro-Abietetum;Alpenrosen-Lärchen-Tannenwald;Alpenrosen-Lärchen-Ta-Wald;Sapinière à  Mélèze avec Rhododendron;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;47Stern;Alpenrosen-Lärchen-Ta-Wald;47*;LATA;Lärche-Tanne;Tannen-Fichtenwälder;47*;;47*;Mit Tanne
47.1000001;47*Lä ;Y;"Rhododendro-Abietetum; Lärchenausbildung";"Alpenrosen-Lärchen-Tannenwald; Lärchenausbildung";"Alpenrosen-Lärchen-Ta-Wald; Lärchenausbildung";"Sapinière à  Mélèze avec Rhododendron; variante à  Mélèze dominant";;;;;;;;;;;;;;;x;;47SternLa;Alpenrosen-Lärchen-Ta-Wald;47*;LATA;Lärche-Tanne;Tannen-Fichtenwälder;;;47* ;Ohne Tanne
48;48;Y;Asplenio-Abieti-Piceetum;Blockschutt-Tannen-Fichtenwald;Blockschutt-Tannen-Fichtenwald;Pessière-Sapinière à  Asplénium sur gros blocs;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;48;Blockschutt-Ta-Fi-Wald;48;TAFIMO;Tanne-Fichte Moderholz;Tannen-Fichtenwälder;48;;48;
49;49;Y;Equiseto-Abieti-Piceetum typicum;Typischer Schachtelhalm-Tannen-Fichtenwald;Typischer Schachtelhalm-Ta-Fi-Wald;Pessière-Sapinière à  Prêle typique;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;49;Typischer Schachtelhalm-Ta-Fi-Wald;49;TAFIMO;Tanne-Fichte Moderholz;Tannen-Fichtenwälder;49;;49;Ohne Wechselfeuchtigkeitszeiger und Basenzeiger
49.1;49*    ;Y;Equiseto-Piceetum caricetosum ferrugineae;Schachtelhalm-Fichtenwald mit Rostsegge;Schachtelhalm-Fi-Wald mit Rostsegge;Pessière à  Prêle avec Laiche ferrugineuse;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;49Stern;Schachtelhalm-Ta-Fi-Wald mit Rostsegge;49*;TAFIMO;Tanne-Fichte Moderholz;Tannen-Fichtenwälder;49*;;49;Mit Wechselfeuchtigkeitszeigern und Basenzeigern ohne Tanne
49.1000002;49*Ta  ;Y;Equiseto-Abieti-Piceetum caricetosum ferrugineae;Schachtelhalm-Tannen-Fichtenwald mit Rostsegge ;Schachtelhalm-Ta-Fi-Wald mit Rostsegge ;Pessière-Sapinière à  Prêle avec Laiche ferrugineuse;;;;;;;;;;;;;;;x;;49SternTa;Schachtelhalm-Ta-Fi-Wald mit Rostsegge (mit Tanne);49*Ta;FIHF;Fichte hochontan feucht;Fichtendominierte Wälder hochmontan;49*Ta;;49;Mit Wechselfeuchtigkeitszeigern und Basenzeigern mit Tanne
50;50;Y;Adenostylo alliariae-Abieti-Piceetum typicum;Typischer Hochstauden-Tannen-Fichtenwald;Typischer Hochstauden-Ta-Fi-Wald;Pessière-Sapinière à  Adénostyle typique;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;50;Typischer Hochstauden-Ta-Fi-Wald;50;TAFIMO;Tanne-Fichte Moderholz;Tannen-Fichtenwälder;50;;50;"Pestwurz dominiert nicht; ohne anstehendem Fels; im Tannen-Haupt- oder Nebenareal"
50.0000003;50Re   ;Y;Adenostylo alliariae-Abieti-Piceetum typicum im Tannen-Reliktareal;Typischer Hochstauden-Tannen-Fichtenwald im Tannen-Reliktareal;Typischer Hochstauden-Ta-Fi-Wald im Ta-Reliktareal;Pessière-Sapinière à  Adénostyle typique de l'aire rélictuelle du Sapin;;;;;;;;;;;;;;;x;;50Re;Typischer Hochstauden-Ta-Fi-Wald im Ta-Reliktareal;50Re;FIHF;Fichte hochontan feucht;Fichtendominierte Wälder hochmontan;50;;50;"Pestwurz dominiert nicht; ohne anstehendem Fels; im Tannen-Reliktareal"
