NAISTYP_SORT; NAISTYP_C; NAISTYP_S20; NAISTYP_NAME_LAT; NAISTYP_NAME_DEU; NAISTYP_NAMK_DEU; NAISTYP_NAME_FRZ; NAISTYP_NAMK_FRZ; NTYP_C_ANHANG2A; NTYP_C_BSCHR_SEP; NTYP_C_BSCHR_TI; NTYP_W_B_ETAP1; NTYP_W_B_ETAP2; NTYP_G_P_ETAP1; NTYP_G_P_ETAP2; NTYP_BS_ETAP1; NTYP_BS_ETAP2; NTYP_SSKSMS_ETA1; NTYP_SSKSMS_ETA2; NTYP_DELARZE08; NTYP_C_ABGES; NTYP_C_GFX_ORT; NTYP_C_GFX_BODEN; NAISTYP_GFX; NAISTYP_WGES; NAISTYP_ANFP; NAISTYP_GFK; NAISTYP_GFEI; NAISTYP_GRB; NAISTYP_ANFP_05; NAISTYP_BEM; NTYP_NATP_ABK; NTYP_NATP_BED
8.001003;8aFe   ;Y;"Milio-Fagetum typicum; Ausbildung auf Fels";Typischer Waldhirsen-Buchenwald auf Fels;Typischer Waldhirsen-Bu-Wald auf Fels;Hêtraie à  Millet typique sur rochers;;;;;;;;;;;;;;;x;;8aFe;Typischer Waldhirsen-Bu-Wald auf Fels;8d 8a 12a;BUUM;Buche untermontan mittel;Buchenwälder;;;8;"Ohne Feuchtezeiger; ohne Säurezeiger;  mit anstehendem Felsen"
8.002;8b     ;Y;Milio-Fagetum caricetosum remotae;Waldhirsen-Buchenwald mit Lockerähriger Segge;Waldhirsen-Bu-Wald mit  Lockerähriger Segge;Hêtraie à  Aspérule avec Laiche à  épis espacés ;;;;;;;;;;;;;;;x;;8b;Typischer Waldhirsenbuchenwald mit Lockerähriger Segge;8b;BUUM;Buche untermontan mittel;Buchenwälder;;neues Anforderungsprofil;8;"Mit Feuchtezeigern; mit Säurezeiger"
8.004;8d     ;Y;Milio-Fagetum luzuletosum;Waldhirsen-Buchenwald mit Hainsimse;Waldhirsen-Bu-Wald mit Hainsimse;Hêtraie à  Millet avec Luzule des forêts;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;8d;Waldhirsen-Bu-Wald mit Hainsimse;8d 8a 12a;BUUM;Buche untermontan mittel;Buchenwälder;;Anforderungsprofil von 8a;8;"Ohne Feuchtezeiger; mit Säurezeigern;  ohne anstehendem Fels"
8.004003;8dFe   ;Y;"Milio-Fagetum luzuletosum; Ausbildung auf Fels";Waldhirsen-Buchenwald mit Hainsimse auf Fels;Waldhirsen-Bu-Wald mit Hainsimse auf Fels;Hêtraie à  Millet avec Luzule des forêts sur rochers;;;;;;;;;;;;;;;x;;8dFe;Waldhirsen-Bu-Wald mit Hainsimse auf Fels;8d 8a 12a;BUUM;Buche untermontan mittel;Buchenwälder;;;8;"Ohne Feuchtezeiger; mit Säurezeigern;  mit anstehendem Fels"
8.1;8*     ;Y;Milio-Fagetum blechnetosum;Waldhirsen-Buchenwald mit Rippenfarn;Waldhirsen-Bu-Wald mit Rippenfarn;Hêtraie à  Millet avec Blechnum spicant;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;8Stern;Waldhirsen-Bu-Wald mit Rippenfarn;7* 8*;TABUM;Tanne-Buche mittel;Tannen-Buchenwälder;8*;;8*;
9.001;9a     ;Y;Pulmonario-/ Lathyro-Fagetum typicum;Typischer Lungenkraut-/Platterbsen-Buchenwald;Typischer Lungenkraut-/Platterbsen-Bu-Wald;Hêtraie à  Pulmonaire typique;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;9a;Typischer Lungenkraut-/Platterbsen-Bu-Wald;6 7a 9a 9w;BUSM;Buche submontan mittel;Buchenwälder;7a 9a 9w;;9;"Ohne Wechselfeuchtigkeitszeigern; ohne anstehendem Fels"
9.001003;9aFe   ;Y;"Pulmonario-/ Lathyro-Fagetum typicum; Ausbildung auf Fels";Typischer Lungenkraut-/Platterbsen-Buchenwald auf Fels;Typischer Lungenkraut-/Platterbsen-Bu-Wald auf Fels;Hêtraie à  Pulmonaire typique sur rochers;;;;;;;;;;;;;;;x;;9aFe;Typischer Lungenkraut-/Platterbsen-Bu-Wald auf Fels;6 7a 9a 9w;BUSM;Buche submontan mittel;Buchenwälder;;;9;"Ohne Wechselfeuchtigkeitszeigern; mit anstehendem Fels"
9.014;9w     ;Y;Pulmonario-/ Lathyro-Fagetum caricetosum flaccae;Wechselfeuchter Lungenkraut-/Platterbsen-Buchenwald;Wechselfeuchter Lungenkraut-/Platterbsen-Bu-Wald;Hêtraie à  Pulmonaire avec Laiche glauque;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;9w;Wechselfeuchter Lungenkraut-/Platterbsen-Bu-Wald;6 7a 9a 9w;BUSM;Buche submontan mittel;Buchenwälder;7a 9a 9w;;9;Mit Wechselfeuchtigkeitszeigern
10.001;10a    ;Y;Pulmonario-/ Lathyro-Fagetum melittetosum;Lungenkraut-/Platterbsen-Buchenwald mit Immenblatt;Lungenkraut-/Platterbsen-Bu-Wald mit Immenblatt;Hêtraie à  Pulmonaire avec Mélitte;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;10a;Lungenkraut-/Platterbsen-Bu-Wald mit Immenblatt;10a 10w 14 15;BUT;Buche trocken;Buchenwälder;10a 10w 14 15;;10;Ohne Wechselfeuchtigkeitszeigern
10.014;10w    ;Y;"Pulmonario-/ Lathyro-Fagetum melittetosum; Ausbildung mit Carex flacca";Wechseltrockener Lungenkraut-/Platterbsen-Buchenwald mit Immenblatt;Wechseltrockener Lungenkraut-/Platterbsen-Bu-Wald mit Immenblatt;Hêtraie à  Pulmonaire avec Mélitte et Laiche glauque;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;10w;Wechseltrockener Lungenkraut-/Platterbsen-Bu-Wald mit Immenblatt;10a 10w 14 15;BUT;Buche trocken;Buchenwälder;10a 10w 14 15;;10;Mit Wechselfeuchtigkeitszeigern
