id;clnr;x;y;ip5areproz;ip50proz;custom_forest_type_code;custom_transition_forest_type_code;forest_type_code;transition_forest_type_code;altitudinal_zones_1995_code;altitudinal_zones_2085_less_dry_code;altitudinal_zones_2085_dry_code;forest_ecoregion_code;silver_fir_area_code
28001;1206;2696006;1280999;100,00;80,20;N0007.0010000;;7a;;40;20;20;M;1
28002;1206;2696006;1280999;0,00;6,90;N0007.0010000;;7a;;40;20;20;M;1
28003;1214;2699999;1280996;100,00;100,00;N0007.0010000;N0006.0000000;7a;6;40;20;20;M;1
28004;1218;2702002;1281001;88,10;57,20;N0007.0001200;;7S;;40;20;20;M;1
28005;1218;2702002;1281001;11,80;42,80;N0007.0010000;;7a;;40;20;20;M;1
28006;1222;2703998;1280998;0,00;5,60;N0007.0001200;N0029.0000000;7S;29;40;20;20;M;1
28007;1222;2703998;1280998;100,00;94,40;N0007.0010000;;7a;;40;20;20;M;1
28008;1239;2719999;1281001;81,10;55,70;N0009.0010000;;9a;;40;40;20;M;1
28009;1239;2719999;1281001;1,80;18,20;N0015.0000000;;15;;40;40;20;M;1
28010;1239;2719999;1281001;17,00;26,20;N0011.0000000;;11;;40;40;20;M;1
28011;1365;2680995;1280003;84,70;63,20;N0009.0010000;N0007.0010000;9a;7a;50;40;20;J;1
28012;1365;2680995;1280003;15,30;36,80;N0009.0010000;;9a;;50;40;20;J;1
28013;1369;2684998;1279998;92,70;98,40;N0007.0010000;;7a;;50;20;20;M;1
28014;1369;2684998;1279998;7,30;1,60;N0007.0001200;;7S;;50;20;20;M;1
28015;1378;2691002;1279995;0,00;22,20;N3003.0000000;;u-3;;40;20;20;M;1
28016;1378;2691002;1279995;100,00;77,80;N0007.0010000;N0006.0000000;7a;6;40;20;20;M;1
28017;1382;2693001;1279993;100,00;89,60;N0007.0010000;N0006.0000000;7a;6;40;20;20;M;1
28018;1382;2693001;1279993;0,00;10,40;N0006.0000000;;6;;40;20;20;M;1
28019;1402;2703003;1280006;50,80;68,70;N3009.0000000;;u-9;;40;20;20;M;1
28020;1402;2703003;1280006;49,20;23,60;N0030.0000000;;30;;40;20;20;M;1
28021;1402;2703003;1280006;0,00;7,70;N0030.0000000;;30;;40;20;20;M;1
