custom_forest_type_code;forest_type_code;latin;german
N0060.0000100;60A;Adenostylo-Piceetum athyrietosum distentifolii;Hochstauden-Fi-Wald mit Alpenwaldfarn
N0060.0000101;60ALä;"Adenostylo-Piceetum athyrietosum distentifolii; Lärchenausbildung";Hochstauden-Fi-Wald mit Alpenwaldfarn, Lärchenausbildung
N0060.0000102;60ATa;Adenostylo-Piceetum athyrietosum distentifolii mit Tanne;Hochstauden-Fi-Wald mit Alpenwaldfarn und Tanne
N0060.0000400;60E;Adenostylo-Piceetum equisetetosum silvaticae;Hochstauden-Fi-Wald mit Schachtelhalm
N0060.1000000;60*;Calamagrostio variae-Piceetum;Buntreitgras-Fi-Wald
N0060.1000001;60*Lä;"Calamagrostio variae-Piceetum; Lärchenausbildung";Buntreitgras-Fi-Wald, Lärchenausbildung
N0060.1000002;60*Ta;Calamagrostio variae-Abieti-Piceetum;Buntreitgras-Ta-Fi-Wald 
N0061.0000000;61;Molinio-Pinetum sylvestris;Pfeifengras-Föhrenwald
N0062.0000000;62;Cephalanthero-Pinetum sylvestris;Orchideen-Föhrenwald
N0065.0000000;65;Erico- / Coronillo-Pinetum sylvestris;Erika-/Strauchwicken-Föhrenwald
N0065.1000000;65*;Ononido-Pinetum sylvestris;Hauhechel-Föhrenwald
N0066.0000000;66;Pyrolo- und Ligustro-Pinetum;Wintergrün- und Liguster-Föhrenwald
N0066.0001000;66PM;Pyrolo-Pinetum montanae;Bergföhren-Auenwald
N0067.0000000;67;Erico-Pinetum montanae;Erika-Bergföhrenwald
N0067.1000000;67*;Carici humilis Pinetum sylvestris;Erdseggen-Föhrenwald
N0068.0000000;68;Calluno-Pinetum sylvestris;Besenheide-Föhrenwald
N0068.1000000;68*;Vaccinio vitis-idaeae-Pinetum sylvestris;Preiselbeer-Föhrenwald
N0069.0000000;69;Rhododendro hirsuti-Pinetum montanae;Steinrosen-Bergföhrenwald
N0070.0000000;70;Rhododendro ferruginei-Pinetum montanae;Alpenrosen-Bergföhrenwald
