CLNR;x;y;IP5AREPROZ;IP50PROZ;custom_forest_type_code;custom_transition_forest_type_code
1807;2699004;1278003;34,70;38,90;N0009.0010000;
1815;2703006;1278005;100,00;100,00;N0007.0010000;
1819;2705006;1278002;100,00;100,00;N0007.0010000;
1823;2707001;1277999;25,10;35,70;N0026.0000000;
1823;2707001;1277999;0,00;4,90;N0010.0010000;
1823;2707001;1277999;74,90;35,00;N0010.0010000;
1823;2707001;1277999;0,00;24,40;N3001.0000000;
1835;2712999;1277998;67,10;51,90;N0012.0050000;
1835;2712999;1277998;32,90;48,10;N0012.0010000;
1847;2718996;1278001;84,80;66,00;N0007.0001200;
1847;2718996;1278001;1,70;10,20;N3003.0000000;
1847;2718996;1278001;13,50;23,80;N0010.0010000;
1867;2729000;1277999;0,00;1,50;N3001.0000000;
1867;2729000;1277999;100,00;98,50;N0011.0000000;
2010;2690006;1276997;100,00;90,50;N0007.0001200;
2010;2690006;1276997;0,00;9,50;N0007.0010000;
2046;2708000;1277000;15,70;29,20;N0007.0010000;N0009.0010000
2046;2708000;1277000;32,40;23,70;N0009.0010000;
2046;2708000;1277000;51,90;31,00;N0017.0000000;
2046;2708000;1277000;0,00;16,00;N0026.0000000;
2054;2711997;1277010;100,00;100,00;N0007.0010000;
2074;2721998;1276999;100,00;100,00;N0007.0001200;
2082;2726003;1277000;9,20;28,50;N0029.0000000;
2082;2726003;1277000;90,80;71,50;N0029.0000000;N0007.0010000
2086;2728002;1277003;100,00;100,00;N0007.0001200;
2233;2680999;1275996;100,00;100,00;N0007.0010000;N0006.0000000
2240;2688998;1276000;100,00;100,00;N0035.0000000;
2276;2707000;1276004;73,10;58,60;N0007.0010000;
2276;2707000;1276004;26,90;41,40;N0007.0001200;
2300;2718998;1276005;100,00;80,20;N0006.0000000;
2300;2718998;1276005;0,00;19,80;N0007.0001200;
2304;2721003;1276000;1,10;12,50;N3001.0000000;
2304;2721003;1276000;98,90;87,50;N0007.0010000;N0006.0000000
2320;2729003;1275999;48,20;49,40;N0007.0001200;
2320;2729003;1275999;48,60;23,10;N0027.0000000;
2320;2729003;1275999;3,10;27,50;N0007.0001200;
2324;2731000;1276001;100,00;100,00;N0007.0001200;
2332;2735003;1276001;100,00;87,40;N0007.0001200;N0029.0000000
2332;2735003;1276001;0,00;12,60;N0007.0001200;
2486;2684003;1275000;100,00;100,00;N0007.0010000;N0006.0000000
2488;2687995;1275000;100,00;100,00;N0035.0000000;N0006.0000000
2500;2694003;1275002;0,00;15,60;N0007.0010000;N0009.0010000
2500;2694003;1275002;100,00;84,40;N0007.0001200;
2508;2698002;1274997;51,00;50,20;N0007.0010000;
2508;2698002;1274997;49,00;49,80;N0007.0010000;N0009.0010000
2512;2699999;1274997;100,00;100,00;N0007.0010000;N0009.0010000
2524;2705999;1274999;100,00;100,00;N0009.0010000;
2528;2707998;1275002;1,80;26,90;N0007.0010000;
2528;2707998;1275002;98,20;73,10;N0007.0001200;N0029.0000000
2532;2710000;1274999;100,00;100,00;N0008.0010000;
2548;2717995;1275004;0,50;21,20;N0007.0010000;
2548;2717995;1275004;99,50;78,80;N0007.0001200;
2560;2724003;1274995;100,00;100,00;N0007.0001200;N0029.0000000
2763;2685001;1274000;100,00;100,00;N0007.0010000;N0006.0000000
2766;2688993;1273997;0,00;26,70;N0035.0000000;
2766;2688993;1273997;100,00;73,30;N0014.0000000;N0035.0000000
2778;2695001;1274001;100,00;100,00;N0007.0010000;N0035.0000000
2786;2698998;1274003;0,00;10,50;N3003.0000000;
2786;2698998;1274003;42,00;16,60;N2007.0000000;N0010.0010000
2786;2698998;1274003;58,00;72,80;N0009.0010000;
2794;2703002;1274006;100,00;100,00;N0010.0010000;
2806;2708998;1274004;100,00;100,00;N0009.0010000;
2818;2715002;1274003;0,00;1,90;N3001.0000000;N3002.0000000
2818;2715002;1274003;100,00;98,10;N0010.0140000;N0015.0000000
2826;2719004;1273996;77,30;41,50;N0007.0010000;
2826;2719004;1273996;0,00;19,50;N0007.0010000;N0006.0000000
2826;2719004;1273996;22,70;39,00;N3003.0000000;N3001.0000000
3051;2660000;1272996;38,80;33,60;N0009.0010000;N0017.0000000
3051;2660000;1272996;36,20;49,70;N3001.0000000;
3051;2660000;1272996;24,90;16,60;N0009.0010000;
3062;2678004;1273002;100,00;98,60;N0010.0140000;
3062;2678004;1273002;0,00;1,40;N0007.0010000;
3078;2687994;1272997;100,00;100,00;N0007.0010000;N0035.0000000
3082;2690004;1273001;100,00;100,00;N0007.0010000;
3094;2696002;1273004;0,00;4,00;N3010.0000000;
3094;2696002;1273004;0,00;12,00;N0027.0000000;
3094;2696002;1273004;100,00;84,00;N0026.0000000;
3110;2704002;1273000;34,80;42,70;N0007.0010000;N0010.0010000
3110;2704002;1273000;65,20;57,30;N0009.0010000;
3166;2731989;1272998;100,00;100,00;N0007.0001200;
3170;2733999;1273004;100,00;90,60;N0007.0001200;N0029.0000000
3170;2733999;1273004;0,00;9,40;N0029.0000000;
3373;2618999;1272003;100,00;100,00;N0007.0001200;
3386;2660997;1271999;0,00;19,00;N0007.0001200;
3386;2660997;1271999;100,00;81,00;N0007.0010000;
3390;2663001;1271997;39,30;47,20;N0007.0001200;
3390;2663001;1271997;60,70;44,90;N0007.0010000;N0009.0010000
3390;2663001;1271997;0,00;6,10;N3003.0000000;
3390;2663001;1271997;0,00;1,80;N3001.0000000;
3401;2681001;1271999;88,80;73,80;N3000.0000000;
3401;2681001;1271999;11,20;26,20;N0007.0010000;N0010.0010000
3413;2687002;1271999;11,20;35,20;N0029.0000100;
3413;2687002;1271999;88,80;50,80;N0028.0000000;
3413;2687002;1271999;0,00;14,00;N3010.0000000;
3421;2691000;1271996;100,00;100,00;N0029.0000100;
3429;2695002;1272003;100,00;96,20;N0010.0010000;
3429;2695002;1272003;0,00;3,80;N0007.0010000;N0009.0010000
3461;2711000;1272000;71,80;67,00;N0010.0140000;
3461;2711000;1272000;10,00;17,10;N3005.0000000;
3461;2711000;1272000;18,20;12,10;N0014.0000000;
3461;2711000;1272000;0,00;3,90;N0007.0001200;N0029.0000000
3469;2714996;1271995;16,90;36,00;N3003.0000000;
3469;2714996;1271995;83,00;64,00;N0029.0000100;
3493;2727006;1272003;4,30;32,90;N0008.0001200;
3493;2727006;1272003;56,60;52,70;N0007.0010000;N0006.0000000
3493;2727006;1272003;39,00;14,40;N0027.0000000;
3497;2729006;1271992;89,70;72,60;N0026.0000000;
3497;2729006;1271992;10,30;27,40;N0008.0001200;
3513;2737006;1272003;100,00;100,00;N0007.0001200;
3517;2739001;1271998;99,50;80,60;N0007.0001200;N0029.0000000
3517;2739001;1271998;0,50;19,40;N0007.0001200;
3731;2654004;1270991;100,00;100,00;N0012.0010000;
3747;2661980;1270999;92,60;69,40;N0007.0010000;
3747;2661980;1270999;7,40;30,60;N0014.0000000;
3756;2679999;1271000;100,00;100,00;N0007.0010000;N0006.0000000
3796;2700001;1271005;35,90;28,60;N0011.0000000;
3796;2700001;1271005;0,00;10,40;N0011.0000000;
