profile;id;x;y;w;h;r;ox;oy;z;f
bl;11;15;57;115;125;;;;1;68
bl;12;0;900;129;100;2;;;1;71,71G
bl;12;18;833;128;67;;;;2;56
bl;12;18;740;157;99;;;;1;46*
bl;12;18;542;198;197;;;;2;46
bl;12;252;866;128;115;;;;1;49
bl;12;440;865;450;71;;;;1;27h
bl;12;440;779;450;80;;;;1;26h,26hG
bl;12;455;665;252;71;;;;2;20E,20EG
bl;12;260;638;128;116;;;;1;19f
bl;12;434;578;297;162;;;1;1;20,20Fe,20G
bl;12;863;413;129;158;2;;;1;13h,13hG
bl;12;727;434;128;116;2;;;1;18M,18MG
bl;12;431;425;129;125;3;;;1;18,18Fe,18G
bl;12;254;348;158;200;4;;;1;19,19L,19Fe,19G
bl;12;27;228;154;253;;;;1;1h
bl;12;15;57;115;124;;;;1;68
bl;12;860;255;128;115;;;;4;13eh
bl;12;575;214;278;135;;;;1;18*,18*G
bl;12;728;44;126;95;;;;1;65
bl;13;441;867;449;71;;;;1;27,27h
bl;13;90;408;205;171;2;;;3;19a,19aG
bl;13;177;549;367;161;;;;2;19LP
bl;13;280;348;157;201;;;;1;19L
bl;13;13;486;274;238;2;;-1;1;4,4G
bl;13;0;363;105;266;;;;2;3*/4*
bl;13;13;306;214;178;2;1;1;1;3,3G
bl;13;522;468;267;130;;;;3;13*
bl;13;500;354;168;132;;;;4;19LC
bl;13;758;359;234;184;;;;1;12*,12*h
bl;13;761;203;227;146;;;;1;14*
bl;13;734;51;95;106;;;;2;67
bl;13;761;53;227;143;;;;1;16*
bl;13;237;132;263;118;;;;1;23*
bl;13;30;59;180;125;;;;2;68,42r
bl;13;15;161;209;146;2;;;1;3s,3sG
bl;14;0;903;129;97;2;;;1;71,71G
bl;14;16;835;129;67;;;;2;56
bl;14;20;549;199;197;;;;2;46
bl;14;16;742;157;99;;;;1;46*
bl;14;251;853;209;129;;;;1;49
bl;14;549;842;128;124;;;;2;49*Ta
bl;14;720;867;170;118;;;;1;27*
bl;14;441;785;449;81;;;;1;26h,26hG
bl;14;791;633;149;135;;;;1;21
bl;14;434;580;296;162;3;;;1;50,50P,50Fe
bl;14;166;496;168;92;;;;1;47
bl;14;319;446;151;125;3;;;2;51,51Fe,51G
bl;14;737;453;233;116;;;;1;50*
bl;14;634;335;186;82;;;;1;52
bl;14;533;130;213;132;2;;;1;69,69G
bl;14;724;176;154;134;2;;;2;53Ta,53Lä
bl;14;743;46;154;125;2;;;5;67,67G
bl;14;15;316;154;214;;;;2;46M
bl;14;25;81;197;177;2;;;1;70,70G
bl;15;1;903;128;95;;;;1;71,71G
bl;15;18;837;128;66;;;;2;56
bl;15;18;741;156;99;;;;1;46*
bl;15;306;457;151;116;;;;3;51,51C,51G
bl;15;10;313;156;214;;;;3;46M
bl;15;167;427;104;105;;;;3;55
bl;15;119;478;212;128;;;-0.1;2;47
bl;15;16;544;199;197;;;;1;46
bl;15;251;853;208;129;;;;1;49
bl;15;552;842;128;124;;;;3;49*Ta,49*
bl;15;720;867;170;118;;;;1;27*
bl;15;441;780;449;82;;;;2;26h,26hG
bl;15;434;580;296;162;;;;1;50,50P,50G
bl;15;738;463;234;116;;;;1;50*
bl;15;596;333;235;115;;;;1;52
bl;15;854;154;122;114;;;;3;53*,53*G
bl;15;724;37;138;132;;;;5;67,67G
bl;15;697;175;154;133;;;;2;53Ta,53Lä
bl;15;511;114;213;132;;;;1;69,69G
bl;15;19;66;214;176;;;;1;70,70G
bl;16;0;904;128;95;2;;;1;71,71G
bl;16;17;837;128;67;;;;2;56
bl;16;16;742;157;99;;;;1;46*
bl;16;549;841;129;125;2;;;2;49*Ta,49*
bl;16;721;868;169;117;;;;1;27*
bl;16;440;783;449;82;;;;1;26,26h,26hG
bl;16;433;581;296;162;2;;;1;50,50P,50Fe,50G
bl;16;731;582;109;109;;;;1;23H
bl;16;738;464;235;117;;;;1;50*
bl;16;597;333;235;116;;;;1;52,52T
bl;16;166;427;104;105;;;;4;55
bl;16;306;457;150;117;2;;;4;51,51C,51G
bl;16;119;477;211;128;;;-0.1;3;47
bl;16;17;545;198;198;;;;2;46
bl;16;11;313;154;214;;;;1;46M
bl;16;54;199;227;133;2;;;2;55*,55*Ta,55*Lä,55*G
bl;16;37;133;175;59;;;;2;70,70G
bl;16;20;67;213;125;;;1.3;1;68
bl;16;822;69;90;101;2;;;3;67,67G
bl;16;742;37;120;96;;;;2;65
bl;16;806;134;190;136;2;;;1;53*,53*Ta,53*G
bl;16;830;7;165;115;;;1;1;65*
bl;17;0;902;129;96;2;;;1;71,71G
bl;17;17;835;128;67;;;;3;56
bl;17;17;741;157;99;;;;2;46*Re
bl;17;17;544;199;198;;;;1;46Re
bl;17;543;841;129;125;;;;2;49*
bl;17;722;867;169;117;;;;1;27*
bl;17;440;785;451;80;;;;1;26h,26hG
bl;17;734;582;109;109;;;;1;23H
bl;17;433;580;298;162;;;;2;50Re
bl;17;515;478;144;124;;;;1;54A
bl;17;739;464;234;116;;;;1;50*Re
bl;17;523;357;129;121;;;;2;54
bl;17;598;333;233;116;;;;1;52Re
bl;17;819;69;90;100;2;;;3;67,67G
bl;17;818;134;155;136;2;;;1;53*,53*G
bl;17;736;38;128;96;;;;2;65
bl;17;830;9;166;113;;;1;1;65*
bl;17;303;457;153;116;;;;1;51Re
bl;17;167;427;103;104;;;;1;55
bl;17;54;198;228;134;2;;;2;55*,55*Lä,55*G
